max_depth,max_features,min_samples_leaf,min_samples_split,mean_mae,std_mae,mean_rmse,mean_r2
,0.7,2,5,0.933538853546551,0.45186872226771346,1.2543504484969572,0.06627062710757753
6.0,sqrt,4,2,0.933796125529166,0.3861009824779562,1.259593997780229,0.1096679535942551
6.0,sqrt,4,5,0.933796125529166,0.3861009824779562,1.259593997780229,0.10966795359425513
4.0,0.7,1,5,0.9338427819667499,0.4310785178905193,1.2673359272905098,0.07149555375869857
6.0,0.7,4,2,0.9352695191537987,0.4480283288627005,1.2615615390141812,0.06036459029629626
6.0,0.7,4,5,0.9352695191537989,0.44802832886270055,1.2615615390141812,0.060364590296296095
,0.7,4,5,0.9352840025511215,0.4424308560367367,1.2584460473865442,0.06867712164886375
,0.7,4,2,0.9352840025511215,0.44243085603673665,1.2584460473865444,0.06867712164886366
4.0,0.7,1,2,0.9358792524420394,0.4294889777857833,1.2696013582361831,0.06978271893123869
6.0,1.0,2,5,0.9361767654623677,0.46404907988191063,1.2675493107723224,0.040378292913368696
6.0,1.0,2,2,0.9361888193078548,0.46518325808926825,1.2674154888128384,0.03993185614646719
6.0,1.0,1,5,0.9370554384234742,0.44967816568455277,1.282363172708214,0.03694847512878377
8.0,1.0,2,5,0.9377665613113794,0.463301474105086,1.2677327761349526,0.039888839916334407
8.0,1.0,2,2,0.9378966334327616,0.46599068125951176,1.268036655522143,0.03730277364236667
6.0,1.0,1,2,0.938801661659029,0.44798789808073936,1.2846348321575076,0.03587778957549426
,0.7,2,2,0.9389425276377498,0.4558522730093255,1.2606415691961297,0.0564787800573035
4.0,0.7,4,5,0.9390154541378328,0.4335291554125795,1.2736490660969133,0.061270139546003105
4.0,0.7,4,2,0.9390154541378328,0.4335291554125796,1.2736490660969133,0.06127013954600316
8.0,1.0,1,5,0.9423975471619869,0.44654143518068606,1.2906963355556749,0.028500635745190683
4.0,1.0,2,5,0.9427085423516615,0.4569856443545501,1.2758192834754138,0.03597643235121989
4.0,1.0,2,2,0.9430710744770365,0.4573511485124284,1.2763916820446837,0.03518499256145535
4.0,1.0,1,2,0.9430951959568208,0.44776754069680824,1.2821730876564255,0.03824469855585841
4.0,1.0,1,5,0.9433245848324211,0.4475118026087621,1.2823550440221525,0.038115548714219766
8.0,1.0,4,2,0.9433330211025894,0.46353699387002434,1.2690016306866192,0.03686219762380147
8.0,1.0,4,5,0.9433330211025894,0.46353699387002434,1.2690016306866192,0.03686219762380144
6.0,1.0,4,5,0.9435735450945358,0.4646744536244651,1.2718577037518382,0.03322857159527795
6.0,1.0,4,2,0.9435735450945358,0.4646744536244651,1.2718577037518384,0.03322857159527767
,1.0,2,5,0.9437202633749457,0.45892817815659387,1.273500477880418,0.03431062377586386
,0.7,1,5,0.9440393269606044,0.4448718772423975,1.2791206037005298,0.04441151059518303
,1.0,4,5,0.9447942060408148,0.4636344712162234,1.2705599408743462,0.03560046910432102
,1.0,4,2,0.9447942060408148,0.4636344712162236,1.2705599408743464,0.0356004691043208
8.0,1.0,1,2,0.945061316834342,0.44696845688858816,1.293518356385421,0.02378384427480068
,1.0,2,2,0.9457257582772166,0.4604339903591819,1.2767846839414505,0.02986799199287629
,0.7,1,2,0.9458168128654956,0.4365893808494139,1.28181290417487,0.045334174301664726
4.0,1.0,4,2,0.9492202792321894,0.4611798885710022,1.2843296165720668,0.02261772318675298
4.0,1.0,4,5,0.9492202792321895,0.4611798885710022,1.2843296165720668,0.022617723186753036
,1.0,1,5,0.9518265405403562,0.44102800304228446,1.2982560231465639,0.021253777573470134
,1.0,1,2,0.9572847953216361,0.43732754321046274,1.3064334932493793,0.012403845746886605
4.0,sqrt,1,2,0.9697294254662043,0.33168973503177385,1.291683321270616,0.10467833556299494
4.0,sqrt,2,5,0.9697438442626451,0.33640175632452074,1.2903910653613484,0.10342564796811574
4.0,sqrt,1,5,0.9710957571481336,0.3341202547373439,1.2934043154061101,0.10107962514926147
4.0,sqrt,2,2,0.9713970282596869,0.3341045913447575,1.2926878969123816,0.10200534373969969
